#OK
#SQL= select bdmId, x, y, z
#	from MDR1..BDMW 
#	where snapnum = 85 
#	and Vcir > 1000.0
#	
#MAXROWS UNLIMITED
#QUERYTIMEOUT 2400 sec
#DATE 2013-06-25 12:19:29.891 CEST
#QUERYTIME 182524 millisec
#COLUMN 1 name=bdmId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 3 name=y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 4 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
bdmId,x,y,z
8501850687,410.4697,650.2927,147.3358
8501855441,437.0149,615.9017,154.5651
8501862051,408.8694,723.5367,169.1938
8501864127,506.3614,681.6784,183.6159
8501870971,417.2617,793.4479,191.6005
8501880434,724.7261,728.5477,11.2666
8501884625,772.2013,728.5334,14.4032
8501885848,740.069,672.7443,19.3362
8501887351,747.2384,674.1821,19.641
8501887930,739.0996,702.0349,20.9621
8501891572,710.2121,723.9316,25.0925
8501893987,740.2858,681.0932,25.3345
8501895449,725.9575,782.1684,36.3185
8501904383,606.701,766.4147,47.4135
8501910745,723.8516,677.8926,68.5932
8501912895,696.159,788.461,77.9358
8501915210,728.6824,602.087,78.9844
8501915959,638.1429,767.0638,74.3515
8501917827,731.6624,720.1168,80.4031
8501924664,701.3995,792.1754,92.9729
8501929668,626.1233,719.5085,112.3589
8501930124,668.6465,797.8409,100.9748
8501944657,756.616,790.1586,138.708
8501946239,791.1741,734.826,153.7685
8501946973,742.9542,619.6109,142.8521
8501952501,644.5335,760.6395,159.6434
8501955038,729.2592,635.5029,159.6987
8501962316,601.9069,711.4714,183.21
8501964999,623.3431,688.4193,189.973
8501971741,774.1771,651.1506,192.6273
8501973347,903.4191,678.3261,0.325
8501997200,837.3911,700.1213,48.6171
8501997981,829.2247,798.9921,56.3215
8502000066,894.3558,745.1416,62.2893
8502005376,837.9059,695.4468,55.0803
8502006187,935.2004,762.6498,66.4146
8502006232,912.1301,755.0146,65.7846
8502008995,990.9943,679.0191,68.5533
8502012426,908.5298,760.1131,72.7485
8502014554,872.8351,698.2058,96.7237
8502041090,954.4664,776.8954,131.7563
8502041112,937.3711,746.9307,133.5374
8502042269,970.2378,625.219,147.7046
8502047048,925.0645,691.7042,145.961
8502047520,921.9089,782.6079,149.5467
8502051601,956.5607,749.611,157.9822
8502053022,922.5233,613.4213,154.7695
8502053507,916.5814,799.2355,156.8072
8502055946,930.1108,697.5377,153.6965
8502055964,803.8053,710.2529,164.186
8502062128,997.9012,737.6001,178.8398
8502065512,943.7051,608.6751,176.6242
8502073636,977.7006,797.1536,193.5778
8502078433,23.4523,995.9388,13.2973
8502078739,177.533,852.2866,12.4658
8502080145,15.8114,815.1706,23.9916
8502080710,61.3103,886.4158,5.5557
8502084924,162.9897,819.6998,15.9364
8502084933,158.4569,818.3931,18.6586
8502094105,4.8799,817.2648,36.7615
8502096100,30.278,947.8331,34.9835
8502104318,26.6173,806.2957,54.8496
8502113901,167.1355,810.5946,63.2151
8502116835,184.0361,994.4914,66.0422
8502117162,28.169,800.8444,74.0932
8502118949,132.6117,957.2895,81.3423
8502126097,74.0834,966.387,82.5887
8504299941,240.3031,777.6238,317.7276
8504301831,228.9855,730.0424,324.2417
8504303165,233.7787,763.2242,322.2782
8504304531,397.36,704.497,326.9154
8504306775,205.1797,662.1489,333.7483
8504310130,388.3438,636.4724,340.4853
8504312864,318.7724,790.316,326.506
8504317425,302.0601,642.7776,363.4328
8504318396,201.8608,684.628,348.3388
8504320375,305.5047,680.7333,363.9136
