#OK
#SQL= select * from MDR1..BDMW where snapnum = 85 and Vcir between 800.000000 and 1000.000000
#MAXROWS UNLIMITED
#QUERYTIMEOUT 2400 sec
#DATE 2013-06-26 10:36:28.592 CEST
#QUERYTIME 181362 millisec
#COLUMN 1 name=bdmId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=snapnum JDBC_TYPE=5 JDBC_TYPENAME=smallint
#COLUMN 3 name=NInCat JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 4 name=hostFlag JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 5 name=x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 6 name=y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 7 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 8 name=vx JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 9 name=vy JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 10 name=vz JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 11 name=np JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 12 name=Mvir JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 13 name=Mtot JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 14 name=Rvir JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 15 name=Vrms JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 16 name=Vcir JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 17 name=conc JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 18 name=Xoff JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 19 name=virialRatio JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 20 name=spin JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 21 name=Rrms JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 22 name=axisratio_2_1 JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 23 name=axisratio_3_1 JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 24 name=axis1_x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 25 name=axis1_y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 26 name=axis1_z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 27 name=ix JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 28 name=iy JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 29 name=iz JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 30 name=phkey JDBC_TYPE=4 JDBC_TYPENAME=int
bdmId,snapnum,NInCat,hostFlag,x,y,z,vx,vy,vz,np,Mvir,Mtot,Rvir,Vrms,Vcir,conc,Xoff,virialRatio,spin,Rrms,axisratio_2_1,axisratio_3_1,axis1_x,axis1_y,axis1_z,ix,iy,iz,phkey
8501049785,85,1049785,-1,884.1825,392.2657,184.59,344.18,413.16,210.31,15366,1.33299998E14,1.48599996E14,0.8585,1038.0,885.9,5.736,0.0806,0.513,0.0731,0.4768,0.7194,0.459,0.4845,0.8674,-0.1134,905,401,189,406047219
8501050845,85,1050845,-1,917.1727,275.16,179.0961,-155.3,-157.76,-209.62,17775,1.54199996E14,1.58400004E14,0.8796,1012.0,954.9,6.265,0.0564,0.2526,0.0131,0.4626,0.9088,0.7959,0.6238,-0.3506,0.6986,939,281,183,415434999
8501051737,85,1051737,-1,866.504,201.626,196.1257,153.54,459.28,371.89,20566,1.78400006E14,1.93799997E14,0.94,1062.0,927.8,3.732,0.1373,0.4143,0.0685,0.5356,0.6711,0.538,0.9182,-0.3597,-0.1661,887,206,200,428340407
8501051851,85,1051851,-1,960.9011,238.3676,193.7065,-580.89,29.99,182.41,17245,1.49600002E14,1.62700005E14,0.886,941.9,862.7,3.115,0.0679,0.2942,0.0356,0.5113,0.5623,0.4625,-0.6486,0.1632,0.7434,983,244,198,426174657
8501052496,85,1052496,-1,888.902,354.9754,196.0047,-74.44,-351.1,48.65,20863,1.80899996E14,2.01200008E14,0.9518,1102.0,939.8,4.189,0.1403,0.4758,0.0247,0.5332,0.6281,0.4336,-0.2809,-0.3973,0.8736,910,363,200,416016065
8501052616,85,1052616,-1,853.2559,309.2443,188.307,357.14,-89.13,61.92,21041,1.82500006E14,1.91800002E14,0.9372,1071.0,977.1,5.177,0.0292,0.2996,0.0107,0.5017,0.7423,0.6111,0.5306,0.6088,-0.5897,873,316,192,414725187
8501055769,85,1055769,-1,911.0311,349.0591,195.3772,-568.54,-43.66,-81.57,10995,9.5350002E13,1.06399997E14,0.7727,949.7,843.2,8.249,0.0583,0.4514,0.0382,0.3832,0.9024,0.7388,0.8337,0.2138,0.5091,932,357,200,415903361
8501058955,85,1058955,-1,56.2429,484.5775,5.913,131.5,-33.19,-127.33,16592,1.43899994E14,1.56700003E14,0.8728,1090.0,927.9,6.332,0.0585,0.4837,0.0291,0.4537,0.5551,0.5243,-0.2221,0.4975,0.8385,57,496,6,134115147
8501060189,85,1060189,-1,6.9263,560.7389,2.5115,-192.44,-278.11,-205.09,21965,1.90500003E14,2.02399998E14,0.9527,944.7,931.8,2.695,0.1137,0.2064,0.0509,0.5943,0.4504,0.236,-0.1014,0.5239,0.8457,7,574,2,134479389
8501061751,85,1061751,-1,183.5536,496.9609,17.0503,-185.17,-65.09,376.38,18870,1.63600002E14,1.65700006E14,0.8922,1047.0,997.6,7.06,0.0222,0.2385,0.031,0.4754,0.5386,0.4979,-0.4753,0.0879,0.8755,187,508,17,127341948
8501062428,85,1062428,-1,12.0107,518.9327,11.312,-83.84,14.33,-49.11,9577,8.3049996E13,8.4130004E13,0.7147,836.0,822.5,8.461,0.023,0.1891,0.0194,0.3608,0.7981,0.6338,0.7623,-0.4922,0.4203,12,531,11,134223974
8501064188,85,1064188,-1,111.2716,445.1024,12.9781,-9.86,-315.16,86.33,11148,9.6679999E13,9.8209997E13,0.7526,857.4,822.7,6.499,0.0229,0.1908,0.0122,0.3942,0.6629,0.5378,0.3695,-0.6213,0.691,113,455,13,133207993
8501064786,85,1064786,-1,196.4314,441.9911,18.6174,-511.96,-149.21,-6.16,19807,1.718E14,1.76500003E14,0.9104,1074.0,992.4,6.325,0.021,0.2734,0.0184,0.4739,0.7409,0.568,-0.6655,0.6646,0.3398,201,452,19,127416298
8501065718,85,1065718,-1,10.4304,576.3909,16.9901,-773.85,-873.08,151.49,16379,1.42000007E14,1.46699993E14,0.8568,1003.0,930.8,6.346,0.0262,0.2808,0.0666,0.4556,0.7182,0.6499,0.7967,0.315,-0.5157,10,590,17,134486099
8501067034,85,1067034,-1,58.928,488.2113,20.5247,236.91,252.78,83.49,11194,9.7080001E13,9.8739998E13,0.7538,872.7,820.7,6.36,0.0434,0.2394,0.0227,0.3998,0.8241,0.667,0.0134,-0.2407,0.9705,60,499,21,134092446
8501067203,85,1067203,-1,137.0694,429.8772,20.8713,-545.23,-366.86,-231.09,22107,1.91699993E14,1.96399996E14,0.9434,1031.0,966.8,3.999,0.02,0.2067,0.0184,0.5228,0.9937,0.6675,-0.5115,0.7995,0.3148,140,440,21,127131905
8501067796,85,1067796,-1,176.1319,497.765,29.6242,147.16,-64.21,225.13,18914,1.64000004E14,1.703E14,0.9005,1007.0,946.3,5.226,0.0207,0.2441,0.0232,0.4941,0.6377,0.4541,0.9411,-0.3058,0.1441,180,509,30,127343995
8501069123,85,1069123,-1,5.8343,545.6534,22.1283,28.64,-267.97,-5.63,13072,1.13399996E14,1.155E14,0.789,884.5,855.4,5.868,0.0258,0.194,0.0124,0.4218,0.7921,0.7137,-0.4455,0.5863,0.6766,5,558,22,134471539
8501069939,85,1069939,-1,63.5534,492.8506,18.6995,-247.85,-237.73,-170.45,19604,1.70000007E14,1.80899996E14,0.9177,1037.0,922.9,3.991,0.141,0.3165,0.0364,0.5136,0.5695,0.4073,0.5783,-0.5746,0.5792,65,504,19,133336894
8501070310,85,1070310,-1,69.7688,490.3161,25.8868,-186.12,-142.56,75.59,18414,1.59700004E14,1.65100002E14,0.8896,963.9,897.1,3.488,0.0719,0.2423,0.0677,0.5063,0.6265,0.4985,0.7275,-0.6387,0.2505,71,502,26,133334797
8501076721,85,1076721,-1,70.0188,409.9507,33.3209,213.35,-72.61,-135.29,14312,1.24100001E14,1.28600003E14,0.8185,955.4,905.4,6.984,0.0224,0.2621,0.0269,0.4413,0.5416,0.4674,-0.6368,0.098,0.7647,71,419,34,133038328
8501077194,85,1077194,-1,74.7191,488.6569,40.4267,1.21,18.71,13.61,21216,1.84000006E14,1.91600001E14,0.9358,1056.0,950.8,3.992,0.02,0.3201,0.0449,0.5356,0.503,0.3927,0.6064,0.7264,-0.3235,76,500,41,133330179
8501077896,85,1077896,-1,141.2903,552.1989,46.1464,-879.49,245.74,-398.6,14732,1.27799998E14,1.55899998E14,0.8751,1132.0,888.8,7.004,0.1321,0.7982,0.1224,0.443,0.683,0.6554,0.8165,0.5058,0.2784,144,565,47,136398766
8501077919,85,1077919,-1,22.3203,569.6531,38.2569,-448.26,-434.65,-121.56,11474,9.9499997E13,1.03799998E14,0.7663,834.4,835.0,6.857,0.0303,0.1483,0.0532,0.4126,0.8918,0.6581,-0.2814,-0.3105,0.908,22,583,39,134733006
8501078272,85,1078272,-1,126.8095,567.5927,45.8089,85.12,-40.28,129.97,19013,1.64900001E14,1.87900004E14,0.9294,1027.0,903.8,4.019,0.1052,0.522,0.0619,0.5358,0.7266,0.5336,0.7616,0.0084,0.648,129,581,46,137274284
